@RELATION bucket_4

@ATTRIBUTE duration numeric
@ATTRIBUTE min_fiat numeric
@ATTRIBUTE min_biat numeric
@ATTRIBUTE max_fiat numeric
@ATTRIBUTE max_biat numeric
@ATTRIBUTE mean_fiat numeric
@ATTRIBUTE mean_biat numeric
@ATTRIBUTE std_fiat numeric
@ATTRIBUTE std_biat numeric
@ATTRIBUTE flowPktsPerSecond numeric
@ATTRIBUTE flowBytesPerSecond numeric
@ATTRIBUTE min_flowiat numeric
@ATTRIBUTE max_flowiat numeric
@ATTRIBUTE mean_flowiat numeric
@ATTRIBUTE std_flowiat numeric
@ATTRIBUTE min_active numeric
@ATTRIBUTE mean_active numeric
@ATTRIBUTE max_active numeric
@ATTRIBUTE std_active numeric
@ATTRIBUTE min_idle numeric
@ATTRIBUTE mean_idle numeric
@ATTRIBUTE max_idle numeric
@ATTRIBUTE std_idle numeric
@ATTRIBUTE class1 {Non-VPN,VPN}

@DATA
29008.0,107.0,-1.0,28901.0,-1.0,14504.0,0.0,20360.432632928,0.0,103.4197462769,5205.4605626034,107.0,28901.0,14504.0,20360.432632928,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,'Non-VPN'
59.0,59.0,-1.0,59.0,-1.0,59.0,0.0,0.0,0.0,33898.3050847458,1881355.93220339,59.0,59.0,59.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,'Non-VPN'
74.0,74.0,-1.0,74.0,-1.0,74.0,0.0,0.0,0.0,27027.027027027,1500000.0,74.0,74.0,74.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,'Non-VPN'
0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,'Non-VPN'
11736.0,142.0,-1.0,11594.0,-1.0,5868.0,0.0,8097.7867964031,0.0,255.6237218814,12866.3940013633,142.0,11594.0,5868.0,8097.7867964031,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,'Non-VPN'
667.0,667.0,-1.0,667.0,-1.0,667.0,0.0,0.0,0.0,4497.7511244378,226386.806596702,245.0,422.0,333.5,125.1539052527,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,'Non-VPN'
5294.0,249.0,-1.0,5045.0,-1.0,2647.0,0.0,3391.2839751339,0.0,755.5723460521,36078.5795239894,51.0,5045.0,1764.6666666667,2841.8025676203,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,'Non-VPN'
1330819.0,2122.0,56.0,593904.0,592705.0,125600.0,85225.2666666667,191396.610425511,160046.973341296,19.536841599,1797.3894271122,56.0,592705.0,53232.76,129008.999198305,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,'Non-VPN'
1691267.0,451.0,359.0,1032672.0,1031563.0,136052.0,96612.1764705882,302539.400220699,248623.533600184,17.7381809022,3489.1001834719,13.0,1031563.0,58319.5517241379,193780.700553502,1298233.0,1298233.0,1298233.0,0.0,1031563.0,1031563.0,1031563.0,0.0,'Non-VPN'
2845979.0,782.0,71.0,1121303.0,1120547.0,181885.307692308,133046.142857143,292480.997775321,254918.406524085,12.6494257336,2239.6511007284,40.0,1120547.0,81313.6857142857,205967.699633629,1426777.0,1426777.0,1426777.0,0.0,1120547.0,1120547.0,1120547.0,0.0,'Non-VPN'
