@RELATION bucket_4

@ATTRIBUTE duration numeric
@ATTRIBUTE total_fiat numeric
@ATTRIBUTE total_biat numeric
@ATTRIBUTE min_fiat numeric
@ATTRIBUTE min_biat numeric
@ATTRIBUTE max_fiat numeric
@ATTRIBUTE max_biat numeric
@ATTRIBUTE mean_fiat numeric
@ATTRIBUTE mean_biat numeric
@ATTRIBUTE flowPktsPerSecond numeric
@ATTRIBUTE flowBytesPerSecond numeric
@ATTRIBUTE min_flowiat numeric
@ATTRIBUTE max_flowiat numeric
@ATTRIBUTE mean_flowiat numeric
@ATTRIBUTE std_flowiat numeric
@ATTRIBUTE min_active numeric
@ATTRIBUTE mean_active numeric
@ATTRIBUTE max_active numeric
@ATTRIBUTE std_active numeric
@ATTRIBUTE min_idle numeric
@ATTRIBUTE mean_idle numeric
@ATTRIBUTE max_idle numeric
@ATTRIBUTE std_idle numeric
@ATTRIBUTE class1 {Non-VPN,VPN}

@DATA
14992511.0,5676.0,15573.0,24286.0,24435.0,20003.2136181575,19995.694259012,3204.8137641882,2695.9268390242,100.0499516058,11105.5446282481,1.0,23022.0,10001.6751167445,5611.9809694727,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,'Non-VPN'
14999303.0,213.0,3735.0,25917.0,23120.0,19944.7190412783,19919.3930942895,1732.2241174158,1459.6816883059,100.4046654701,11461.7992582722,11.0,21111.0,9966.3142857143,5805.4104557218,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,'VPN'
14999062.0,12.0,31.0,49996.0,42471.0,17666.9870283019,17314.7632794457,5649.6008242412,6048.1488049667,114.4071542607,15485.0349975218,7.0,24164.0,8745.8087463557,6782.9686698121,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,'VPN'
14456512.0,15.0,8.0,7157948.0,7222819.0,266512.444444444,209514.666666667,1121359.49675331,1003328.90618459,8.6466223664,1512.1904924231,7.0,7157948.0,116584.774193548,746042.264926376,1297696.0,4376335.33333333,7197177.0,2958177.4363692,1069557.0,4121654.33333333,7157948.0,3044226.26608632,'Non-VPN'
8882230.0,52.0,38.0,4708015.0,4852826.0,422963.333333333,349458.6,996472.56530558,942620.928008024,5.4040483077,407.330141192,9.0,4708015.0,188983.617021277,679486.752899891,6856258.0,6856258.0,6856258.0,0.0,4708015.0,4708015.0,4708015.0,0.0,'VPN'
14798534.0,5.0,15.0,5148708.0,5012443.0,102393.277777778,162154.208791209,565519.983667992,687555.078687358,16.0150998741,5251.3309764332,5.0,5012443.0,62705.6525423729,432571.434322203,4192838.0,4844051.0,5573477.0,693634.606335713,1674996.0,3555945.66666667,5012443.0,1708729.92509227,'Non-VPN'
14005436.0,8.0,17.0,13693689.0,13693756.0,1075404.53846154,931999.6,3791693.29638325,3530663.76922896,2.142025425,733.1439021249,8.0,13668205.0,482946.068965517,2536067.3186528,13838538.0,13800000.0,13838538.0,0.0,13668205.0,13700000.0,13668205.0,0.0,'VPN'
2713771.0,31.0,19.0,731251.0,690675.0,36738.9710144928,30995.9518072289,118500.062796641,108719.428484674,56.7476032429,34306.5055968245,8.0,552437.0,17737.0653594771,67476.9677796737,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,'VPN'
237832.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,8.4092973191,1883.682599482,237832.0,237832.0,237832.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,'Non-VPN'
302.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,6622.5165562914,1483443.70860927,302.0,302.0,302.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,'Non-VPN'
