@RELATION bucket_9

@ATTRIBUTE duration numeric
@ATTRIBUTE min_fiat numeric
@ATTRIBUTE min_biat numeric
@ATTRIBUTE max_fiat numeric
@ATTRIBUTE max_biat numeric
@ATTRIBUTE mean_fiat numeric
@ATTRIBUTE mean_biat numeric
@ATTRIBUTE std_fiat numeric
@ATTRIBUTE std_biat numeric
@ATTRIBUTE flowPktsPerSecond numeric
@ATTRIBUTE flowBytesPerSecond numeric
@ATTRIBUTE min_flowiat numeric
@ATTRIBUTE max_flowiat numeric
@ATTRIBUTE mean_flowiat numeric
@ATTRIBUTE std_flowiat numeric
@ATTRIBUTE min_active numeric
@ATTRIBUTE mean_active numeric
@ATTRIBUTE max_active numeric
@ATTRIBUTE std_active numeric
@ATTRIBUTE min_idle numeric
@ATTRIBUTE mean_idle numeric
@ATTRIBUTE max_idle numeric
@ATTRIBUTE std_idle numeric
@ATTRIBUTE class1 {Non-VPN,VPN}

@DATA
137963.0,113.0,2.0,57512.0,51298.0,21870.0,27603.0,27535.9189968303,21064.3971746958,72.4832020179,30790.8642172177,2.0,50483.0,15329.2222222222,18773.8462114039,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,'Non-VPN'
54446525.0,14946.0,125.0,4334694.0,4334527.0,1027292.9245283,985723.981818182,1188053.81992616,1202440.4002836,2.0203309578,535.1122041306,33.0,4284644.0,499509.403669725,938664.004253816,1333240.0,2774115.63157895,4334527.0,935821.319654482,1098564.0,2321295.68421053,4284644.0,939807.419798602,'Non-VPN'
783820.0,783820.0,-1.0,783820.0,-1.0,783820.0,0.0,0.0,0.0,2.5516062361,132.6835242785,783820.0,783820.0,783820.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,'VPN'
55.0,55.0,-1.0,55.0,-1.0,55.0,0.0,0.0,0.0,36363.6363636364,1454545.45454545,55.0,55.0,55.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,'Non-VPN'
59887111.0,58.0,12.0,29815642.0,29942434.0,12000000.0,10000000.0,16300000.0,17300000.0,0.1669808383,83.2232498242,12.0,29815642.0,6654123.44444444,13100000.0,29806293.0,29900000.0,30080760.0,194077.476909352,29806274.0,29800000.0,29815642.0,6624.1762506745,'VPN'
36879771.0,-1.0,35.0,-1.0,107560.0,0.0,19838.4997310382,0.0,25661.188955758,50.4612677774,19389.4913284575,35.0,107560.0,19827.8338709677,25631.3687996918,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,'Non-VPN'
59999477.0,98.0,2.0,39412.0,48099.0,18365.4421310472,17011.4763254891,5304.211174177,5986.9960179064,113.2509871711,15510.9852040877,2.0,34696.0,8831.2447748013,5127.3403927243,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,'Non-VPN'
10363935.0,10363704.0,10363668.0,10363704.0,10363668.0,10400000.0,10400000.0,0.0,0.0,0.3859537907,77.2872465912,231.0,10363437.0,3454645.0,5983189.38148973,10363704.0,10400000.0,10363704.0,0.0,10363437.0,10400000.0,10363437.0,0.0,'Non-VPN'
59992365.0,97.0,1.0,38742.0,42743.0,18371.5188361409,17044.6251776073,5251.9615365733,6083.7675886458,113.1143938066,15461.0007456782,1.0,28617.0,8841.9108327192,5016.1515609692,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,'Non-VPN'
601404954.0,12.0,14.0,406429.0,600109667.0,15796.3414634146,5836748.75728155,64079.4738013644,59100000.0,0.310938576,235.3239677504,2.0,600109654.0,3233359.96774194,44000000.0,601404954.0,601000000.0,601404954.0,0.0,600109654.0,600000000.0,600109654.0,0.0,'VPN'
